Name,Industry,BillingStreet,BillingCity,BillingState,BillingCountry,BillingPostalCode,Phone,NumberOfEmployees,AnnualRevenue
Lehner-Bosco,Apparel,25190 Helena Point,Colorado Springs,CO,United States,80940,557-348-9462,4343,9148119
Keeling-Ruecker,Banking,290 Ridgeway Terrace,Brea,CA,United States,92822,615-766-6729,399,3428537
Reichel-Kerluke,Biotechnology,271 Crest Line Court,Reno,NV,United States,89550,689-445-1213,1997,1313783
Klein Group,Chemicals,58169 Haas Road,Abilene,TX,United States,79699,689-498-5317,286,4878034
Steuber Group,Communications,29 Browning Avenue,Oxnard,CA,United States,93034,785-365-7705,1427,4200272
"Runolfsson, Schneider",Construction,78828 Rockefeller Hill,Salem,OR,United States,97306,483-627-3610,2012,6196904
McCullough LLC,Consulting,65 Pond Center,Denver,CO,United States,80262,434-925-6084,2735,4110008
Adams Group,Education,004 Paget Center,Birmingham,AL,United States,35242,788-668-8459,3380,5372999
"Nitzsche, Sons",Electronics,09226 Myrtle Alley,Hot Springs,AR,United States,71914,265-390-4226,4665,7363364
"Kilback, Barrows",Energy,549 High Crossing Parkway,Charleston,SC,United States,29424,175-379-7185,2503,9681523
O'Keefe-Little,Engineering,30 Larry Pass,Peoria,IL,United States,61629,136-813-0240,2258,2253584
Connelly Group,Entertainment,13068 Thackeray Circle,Modesto,CA,United States,95397,394-757-1012,4945,4888907
"Pouros, Donnelly",Environmental,9 Troy Hill,Detroit,MI,United States,48258,283-940-3282,4357,1916730
"Borer, Wintheiser",Finance,68 Knutson Junction,Sacramento,CA,United States,94297,400-154-0375,2744,787808
Gottlieb-Lynch,Food & Beverage,9337 Eagan Court,Madison,WI,United States,53705,948-835-2296,3916,1480720